direction,rsu,vehicle,sender,receiver,packets_received,min_msgId,max_msgId,packets_expected,mean_distance_m,median_distance_m,min_distance_m,max_distance_m,mean_delay_ms,median_delay_ms,simulation_duration_s,pdr_overall,pdr_sliding_window
V2I,rsu[0],carNoIp[1],carNoIp[1],rsu[0],742,140,1163,1024,287.1985215633427,276.5215,37.732,796.307,55.95283018867924,41.0,102.288,72.4609375,100.0
V2I,rsu[0],carNoIp[24],carNoIp[24],rsu[0],385,0,532,533,249.58106753246744,207.74099999999999,20.826,873.258,71.7038961038961,64.0,53.172000000000004,72.23264540337712,100.0
V2I,rsu[0],carNoIp[49],carNoIp[49],rsu[0],701,0,970,971,282.6403651925821,272.147,23.933000000000003,839.68,45.59058487874465,41.0,97.006,72.1936148300721,100.0
V2I,rsu[0],carNoIp[3],carNoIp[3],rsu[0],427,0,592,593,215.9800983606557,139.267,23.936999999999998,887.3480000000001,49.94847775175644,42.0,59.248,72.00674536256324,100.0
V2I,rsu[0],carNoIp[194],carNoIp[194],rsu[0],425,0,591,592,235.17980705882357,156.306,27.069000000000003,914.457,54.28,52.0,59.113,71.79054054054053,100.0
V2I,rsu[0],carNoIp[51],carNoIp[51],rsu[0],548,0,765,766,244.17406386861322,232.0215,30.217,1005.067,53.184306569343065,61.0,76.527,71.54046997389034,100.0
V2I,rsu[0],carNoIp[26],carNoIp[26],rsu[0],702,65,1046,982,255.16544871794846,226.368,30.223000000000003,829.807,48.977207977207975,48.0,98.07300000000001,71.4867617107943,100.0
V2I,rsu[0],carNoIp[66],carNoIp[66],rsu[0],702,35,1026,992,247.6854544159546,216.65449999999998,30.221999999999998,910.4010000000001,62.63390313390313,68.0,99.079,70.76612903225806,100.0
V2I,rsu[0],carNoIp[134],carNoIp[134],rsu[0],454,0,650,651,233.52194273127773,166.07049999999998,30.22,934.2639999999999,68.76651982378854,77.0,64.936,69.73886328725038,100.0
V2I,rsu[0],carNoIp[33],carNoIp[33],rsu[0],676,20,992,973,296.395371301775,286.2855,23.930999999999997,832.4639999999999,59.19970414201183,55.0,97.202,69.47584789311408,100.0
V2I,rsu[0],carNoIp[196],carNoIp[196],rsu[0],271,165,562,398,328.30538376383754,315.965,73.804,782.797,44.07749077490775,67.0,39.704999999999984,68.09045226130654,100.0
V2I,rsu[0],carNoIp[177],carNoIp[177],rsu[0],382,0,561,562,268.4371780104712,255.0035,20.81,875.683,60.212041884816756,91.0,56.18000000000001,67.97153024911033,100.0
V2I,rsu[0],carNoIp[147],carNoIp[147],rsu[0],640,90,1031,942,299.28593593750026,287.5215,30.217,878.355,39.66875,40.0,94.09100000000001,67.94055201698514,100.0
V2I,rsu[0],carNoIp[69],carNoIp[69],rsu[0],343,0,506,507,258.85443148688057,241.983,20.81,872.328,69.2069970845481,91.0,50.590999999999994,67.65285996055226,100.0
V2I,rsu[0],carNoIp[63],carNoIp[63],rsu[0],585,65,953,889,302.1225555555552,290.379,30.225,920.4,50.21880341880342,50.0,88.828,65.80427446569179,100.0
V2I,rsu[0],carNoIp[221],carNoIp[221],rsu[0],160,35,314,280,426.2611062499999,412.3275,253.203,781.779,65.2375,95.0,27.889999999999986,57.14285714285714,96.0
V2I,rsu[0],carNoIp[224],carNoIp[224],rsu[0],50,165,252,88,544.2818800000002,534.502,475.412,649.734,97.94,101.0,8.682999999999993,56.81818181818182,66.1063829787234
V2I,rsu[0],carNoIp[225],carNoIp[225],rsu[0],99,70,252,183,464.7101010101012,453.19699999999995,351.05800000000005,710.023,22.575757575757574,13.0,18.163999999999987,54.09836065573771,87.87755102040816
V2I,rsu[0],carNoIp[231],carNoIp[231],rsu[0],47,30,189,160,553.0954468085107,530.64,464.541,744.196,44.97872340425532,32.0,15.840000000000032,29.375,55.6547619047619
V2I,rsu[0],carNoIp[226],carNoIp[226],rsu[0],61,35,252,218,549.2284426229508,526.191,453.82099999999997,841.6210000000001,56.39344262295082,56.0,21.714,27.981651376146786,64.0
V2I,rsu[0],carNoIp[237],carNoIp[237],rsu[0],6,25,59,35,664.3018333333334,667.8845000000001,644.215,678.8960000000001,95.0,95.0,3.3999999999999773,17.142857142857142,17.142857142857142
V2I,rsu[0],carNoIp[235],carNoIp[235],rsu[0],8,80,126,47,630.56675,626.2095,597.185,688.061,24.25,23.0,4.59499999999997,17.02127659574468,25.925925925925924
