sender,total_sent
carNoIp[696],845
carNoIp[697],845
carNoIp[698],845
carNoIp[699],845
carNoIp[700],829
carNoIp[701],829
carNoIp[702],829
carNoIp[703],829
carNoIp[704],814
carNoIp[705],814
carNoIp[706],814
carNoIp[707],814
carNoIp[708],798
carNoIp[709],798
carNoIp[710],798
carNoIp[711],798
carNoIp[712],783
carNoIp[713],783
carNoIp[714],783
carNoIp[715],783
carNoIp[716],767
carNoIp[717],767
carNoIp[718],767
carNoIp[719],767
carNoIp[720],755
carNoIp[721],755
carNoIp[722],755
carNoIp[723],755
carNoIp[724],755
carNoIp[725],755
carNoIp[726],755
carNoIp[727],755
carNoIp[728],752
carNoIp[729],752
carNoIp[730],752
carNoIp[731],752
carNoIp[732],736
carNoIp[733],736
carNoIp[734],736
carNoIp[735],736
carNoIp[736],721
carNoIp[737],721
carNoIp[738],721
carNoIp[739],721
carNoIp[740],705
carNoIp[741],705
carNoIp[742],705
carNoIp[743],705
carNoIp[744],690
carNoIp[745],690
carNoIp[746],690
carNoIp[747],690
carNoIp[748],674
carNoIp[749],674
carNoIp[750],674
carNoIp[751],674
carNoIp[752],659
carNoIp[753],659
carNoIp[754],659
carNoIp[755],659
carNoIp[756],643
carNoIp[757],643
carNoIp[758],643
carNoIp[759],643
carNoIp[760],631
carNoIp[761],631
carNoIp[762],631
carNoIp[763],631
carNoIp[764],631
carNoIp[765],631
carNoIp[766],631
carNoIp[767],631
carNoIp[768],627
carNoIp[769],627
carNoIp[770],627
carNoIp[771],627
carNoIp[772],612
carNoIp[773],612
carNoIp[774],612
carNoIp[775],612
carNoIp[776],596
carNoIp[777],596
carNoIp[778],596
carNoIp[779],596
carNoIp[780],581
carNoIp[781],581
carNoIp[782],581
carNoIp[783],581
carNoIp[784],565
carNoIp[785],565
carNoIp[786],565
carNoIp[787],565
carNoIp[788],550
carNoIp[789],550
carNoIp[790],550
carNoIp[791],550
carNoIp[792],534
carNoIp[793],534
carNoIp[794],534
carNoIp[795],534
carNoIp[796],519
carNoIp[797],519
carNoIp[798],519
carNoIp[799],519
carNoIp[800],507
carNoIp[801],507
carNoIp[802],507
carNoIp[803],507
carNoIp[804],507
carNoIp[805],507
carNoIp[806],507
carNoIp[807],507
carNoIp[808],503
carNoIp[809],503
carNoIp[810],503
carNoIp[811],503
carNoIp[812],488
carNoIp[813],488
carNoIp[814],488
carNoIp[815],488
carNoIp[816],472
carNoIp[817],472
carNoIp[818],472
carNoIp[819],472
carNoIp[820],456
carNoIp[821],456
carNoIp[822],456
