t,rsu,msgId,lat,lon,heading,speed,dist_m,delay_ms,verified,cert_size,sig_size,spdu_size,Algorithm
24.758000,rsu[0],236,333.896190,87.244454,1.570796,0.000000,117.846,58.000,1,897,656,1622,Falcon-512
24.858000,rsu[0],237,333.937527,85.698288,1.570796,0.000000,119.338,58.000,1,897,652,1618,Falcon-512
24.958000,rsu[0],238,333.978955,84.148781,1.570796,0.000000,120.835,58.000,1,897,657,1623,Falcon-512
25.058000,rsu[0],239,334.020059,82.611348,1.570796,0.000000,122.321,58.000,1,897,654,1620,Falcon-512
25.158000,rsu[0],240,334.061384,81.065653,1.570796,0.000000,123.817,58.000,1,897,656,1622,Falcon-512
25.258000,rsu[0],241,334.102554,79.525780,1.570796,0.000000,125.308,58.000,1,897,654,1620,Falcon-512
25.358000,rsu[0],242,334.143778,77.983842,1.570796,0.000000,126.802,58.000,1,897,656,1622,Falcon-512
25.458000,rsu[0],243,334.184873,76.446783,1.570796,0.000000,128.293,58.000,1,897,654,1620,Falcon-512
25.558000,rsu[0],244,334.226085,74.905299,1.570796,0.000000,129.789,58.000,1,897,654,1620,Falcon-512
25.658000,rsu[0],245,334.267450,73.358121,1.570796,0.000000,131.291,58.000,1,897,654,1620,Falcon-512
25.758000,rsu[0],246,334.308767,71.812720,1.570796,0.000000,132.793,58.000,1,897,655,1621,Falcon-512
25.858000,rsu[0],247,334.350157,70.264616,1.570796,0.000000,134.299,58.000,1,897,654,1620,Falcon-512
25.958000,rsu[0],248,334.391518,68.717595,1.570796,0.000000,135.804,58.000,1,897,655,1621,Falcon-512
26.058000,rsu[0],249,334.432639,67.179516,1.570796,0.000000,137.302,58.000,1,897,651,1617,Falcon-512
26.158000,rsu[0],250,334.473757,65.641562,1.570796,0.000000,138.801,58.000,1,897,655,1621,Falcon-512
26.258000,rsu[0],251,334.514900,64.092699,1.570796,0.000000,140.311,58.000,1,897,654,1620,Falcon-512
26.358000,rsu[0],252,334.555590,62.543392,1.570796,0.000000,141.822,58.000,1,897,654,1620,Falcon-512
26.458000,rsu[0],253,334.596142,60.999398,1.570796,0.000000,143.329,58.000,1,897,655,1621,Falcon-512
26.558000,rsu[0],254,334.636535,59.461447,1.570796,0.000000,144.830,58.000,1,897,654,1620,Falcon-512
26.658000,rsu[0],255,334.677141,57.915375,1.570796,0.000000,146.341,58.000,1,897,657,1623,Falcon-512
26.758000,rsu[0],256,334.717740,56.369541,1.570796,0.000000,147.851,58.000,1,897,654,1620,Falcon-512
26.858000,rsu[0],257,334.758200,54.829020,1.570796,0.000000,149.358,58.000,1,897,655,1621,Falcon-512
26.958000,rsu[0],258,334.798795,53.283370,1.570796,0.000000,150.870,58.000,1,897,653,1619,Falcon-512
27.058000,rsu[0],259,334.839455,51.735242,1.570796,0.000000,152.385,58.000,1,897,657,1623,Falcon-512
1.123000,rsu[0],0,379.310103,222.555521,1.570796,0.000000,82.607,23.000,1,897,652,1618,Falcon-512
1.125000,rsu[0],0,321.007240,176.288340,1.570796,0.000000,32.071,25.000,1,897,653,1619,Falcon-512
1.128000,rsu[0],0,344.334360,222.397260,1.570796,0.000000,49.922,28.000,1,897,653,1619,Falcon-512
1.136000,rsu[0],0,327.382681,294.085497,1.570796,0.000000,98.117,36.000,1,897,652,1618,Falcon-512
1.146000,rsu[0],0,321.615699,153.431870,1.570796,0.000000,51.583,46.000,1,897,655,1621,Falcon-512
1.146000,rsu[0],0,264.921918,230.245412,1.570796,0.000000,46.586,46.000,1,897,653,1619,Falcon-512
1.150000,rsu[0],0,330.896846,261.570920,1.570796,0.000000,69.069,50.000,1,897,655,1621,Falcon-512
1.153000,rsu[0],0,330.900000,245.624783,1.570796,0.000000,55.330,53.000,1,897,661,1627,Falcon-512
1.161000,rsu[0],0,280.898986,230.207586,1.570796,0.000000,36.088,61.000,1,897,656,1622,Falcon-512
1.171000,rsu[0],0,378.577542,219.052122,1.570796,0.000000,81.009,71.000,1,897,656,1622,Falcon-512
1.174000,rsu[0],0,264.907874,226.745421,1.570796,0.000000,44.405,74.000,1,897,656,1622,Falcon-512
1.176000,rsu[0],0,325.116640,153.487845,1.570796,0.000000,53.096,76.000,1,897,653,1619,Falcon-512
1.185000,rsu[0],0,323.726711,207.458928,1.570796,0.000000,25.369,85.000,1,897,654,1620,Falcon-512
1.223000,rsu[0],1,379.310103,222.555521,1.570796,0.000000,82.607,23.000,1,897,655,1621,Falcon-512
1.223000,rsu[0],0,330.884347,290.262599,1.570796,0.000000,95.531,23.000,1,897,656,1622,Falcon-512
1.225000,rsu[0],1,321.001204,176.515106,1.570796,0.000000,31.900,25.000,1,897,654,1620,Falcon-512
1.228000,rsu[0],1,344.101381,222.396205,1.570796,0.000000,49.714,28.000,1,897,658,1624,Falcon-512
